total_matched,constituency,Who is running?,What does Electoral Calculus say?
136157.92,Clacton,Nigel Farage,80% chance of winning
84095.85,Islington North,Jeremy Corbyn,27% chance of winning (holding?) 
13345.54,Richmond and Northallerton,Rishi Sunak,50% chance of holding
11432.41,Chesham and Amersham,"	Sarah Green",80% chance of holding a seat she won in a by-election in 2021
11378.91,Stratford-on-Avon,Chris Clarkson,5% chance of holding Nadhim Zahawi's former seat
10127.54,Boston and Skegness,Richard Tice,70% chance of winning
9811.01,Croydon South,Ben Taylor and Chris Philp,Labour has a 85% chance of unseating the incumbent Conservative
7843.54,Brighton Pavilion,Sian Berry ,74% chance of holding Caroline Lucas' former seat
7536.28,St Albans,Daisy Cooper,99% chance of holding
7105.33,North Somerset,Liam Fox,12% chance of holding
6413.06,Rochdale,George Galloway,17% chance of holding
6235.04,South West Norfolk,Liz Truss,7% chance of holding
5399.61,Didcot and Wantage,Olly Glover and David Johnston,LibDems have a 92% chance of unseating the incumbent Conservative
5141.95,Ashfield,Lee Anderson,61% chance of winning (holding?) 
4964.87,Tunbridge Wells,Mike Martin and Neil Mahaptra,LibDems have a 61% chance of unseating the incumbent Conservative
4945.27,Chichester,Gillian Keegan,38% chance of holding
4695.16,Epsom and Ewell,Mhairi Fraser,11% chance of holding Chris Grayling's former seat
4618.06,Amber Valley,Linsey Farnsworth and Nigel Mills,Labour has a 83% chance of unseating the incumbent Conservative
4585.63,"Ruislip, Northwood and Pinner",David Simmonds and Tony Gill,Labour has a 46% chance of unseating the incumbent Conservative
4437.22,Great Yarmouth,Keir Cozens,46% chance of winning
