total_matched,constituency,Who is running?,What does Electoral Calculus say?
99879.92,Clacton,Nigel Farage,81% chance of winning
69505.49,Islington North,Jeremy Corbyn,57% chance of winning (holding?) 
11151.16,Richmond and Northallerton,Rishi Sunak,63% chance of holding
11006.25,Chesham and Amersham,"	Sarah Green",76% chance of holding a seat she won in a by-election in 2021
9367.1,Croydon South,Ben Taylor and Chris Philp,Labour has a 67% chance of unseating the incumbent Conservative
7522.07,St Albans,Daisy Cooper,100% chance of holding
7089.43,Boston and Skegness,Richard Tice,45% chance of winning
6294.71,Stratford-on-Avon,Chris Clarkson,58% chance of holding Nadhim Zahawi's former seat
5578.45,Brighton Pavilion,Sian Berry ,68% chance of holding Caroline Lucas' former seat
5499.34,Great Yarmouth,Keir Cozens,Labour has a 63% chance of unseating the incumbent Conservative
5301.1,Rochdale,George Galloway,21% chance of holding
5224.97,Didcot and Wantage,Olly Glover and David Johnston,LibDems have a78% chance of unseating the incumbent Conservative
4592.38,Amber Valley,Linsey Farnsworth and Nigel Mills,Labour has a79% chance of unseating the incumbent Conservative
4584.87,South West Norfolk,Liz Truss,28% chance of holding
4562.83,Chichester,Gillian Keegan,45% chance of holding
4543.8,North Somerset,Liam Fox,36% chance of holding
4388.56,Epsom and Ewell,Mhairi Fraser,20% chance of holding Chris Grayling's former seat
4108.67,Ashford,Damian Green,31% chance of holding
3945.94,Ribble Valley,Nigel Evans,37% chance of holding
3682.33,Ashfield,Lee Anderson,55% chance of winning (holding?) 
